customer_id,home_store,customer_first-name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year
1,3,Kelly Key,Venus@adipiscing.edu,2017-01-04,908-424-2890,1950-05-29,M,1950
2,3,Clark Schroeder,Nora@fames.gov,2017-01-07,032-732-6308,1950-07-30,M,1950
3,3,Elvis Cardenas,Brianna@tellus.edu,2017-01-10,459-375-9187,1950-09-30,M,1950
4,3,Rafael Estes,Ina@non.gov,2017-01-13,576-640-9226,1950-12-01,M,1950
5,3,Colin Lynn,Dale@Integer.com,2017-01-15,344-674-6569,1951-02-01,M,1951
6,3,Igor Beach,Caleb@morbi.net,2017-01-18,114-126-1992,1951-04-04,M,1951
7,3,Scott Holden,Yen@Integer.edu,2017-01-21,384-074-3606,1951-06-05,M,1951
8,3,Keegan Ayala,Tana@sociis.com,2017-01-24,257-308-7675,1951-08-07,M,1951
9,3,Amir Byers,Madeson@malesuada.us,2017-01-26,931-925-0273,1951-10-08,M,1951
10,3,Magee Malone,Anjolie@sapien.gov,2017-01-29,359-150-6747,1951-12-09,M,1951
11,3,Dolan Petty,Kim@convallis.edu,2017-02-01,547-881-4488,1952-02-09,M,1952
12,3,Wang Hebert,Hollee@lorem.net,2017-02-04,605-014-6218,1952-04-11,M,1952
13,3,Wayne David,Slade@sapien.edu,2017-02-06,430-935-8698,1952-06-12,M,1952
14,3,Colin Fernandez,Thaddeus@non.com,2017-02-09,703-178-5883,1952-08-13,M,1952
15,3,Holmes Blankenship,Marvin@accumsan.us,2017-02-12,959-439-4036,1952-10-15,M,1952
16,3,Ali French,Uriah@magnis.org,2017-02-15,169-057-5893,1952-12-16,M,1952
17,3,Josiah Burton,Sacha@Nullam.edu,2017-02-17,373-811-5424,1953-02-16,M,1953
18,3,Drew Skinner,Rashad@faucibus.net,2017-02-20,981-655-9539,1953-04-19,M,1953
19,3,Henry Wilcox,Dexter@nisl.gov,2017-02-23,833-172-4578,1953-06-20,M,1953
20,3,Nathan Riggs,Iris@aptent.com,2017-02-26,639-354-7929,1953-08-21,M,1953
21,3,Mufutau Rosa,Haviva@inceptos.gov,2017-02-28,097-053-2704,1953-10-22,M,1953
22,3,Channing Larson,Marny@dis.edu,2017-03-03,238-527-1012,1953-12-23,M,1953
23,3,Raphael Watkins,Libby@libero.com,2017-03-06,865-048-2894,1954-02-24,M,1954
24,3,Avram Cooper,Sandra@adipiscing.org,2017-03-09,411-854-0502,1954-04-27,M,1954
25,3,Drake Valentine,Lewis@eget.edu,2017-03-11,160-817-8375,1954-06-28,M,1954
